Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2023-10-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2023-10-03,2023-10-04,2023-11-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2023-11-04
2023-10-03,2023-10-04,2023-11-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2023-11-04
2023-10-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2023-10-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2023-10-03,2023-10-04,2023-11-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2023-11-04
2023-09-29,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-09-03,2023-09-04,2023-10-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2023-10-04
2023-09-03,2023-09-04,2023-10-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2023-10-04
2023-09-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2023-09-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2023-09-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2023-09-03,2023-09-04,2023-10-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2023-10-04
2023-08-30,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-08-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2023-08-03,2023-08-04,2023-09-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2023-09-04
2023-08-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2023-08-03,2023-08-04,2023-09-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2023-09-04
2023-08-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2023-08-03,2023-08-04,2023-09-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2023-09-04
2023-07-30,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-07-03,2023-07-04,2023-08-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2023-08-04
2023-07-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2023-07-03,2023-07-04,2023-08-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2023-08-04
2023-07-03,2023-07-04,2023-08-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2023-08-04
2023-07-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2023-07-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2023-06-29,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-06-03,2023-06-04,2023-07-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2023-07-04
2023-06-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,APPROVED,,IN,
2023-06-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,NEW,,IN,
2023-06-03,2023-06-04,2023-07-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2023-07-04
2023-06-03,2023-06-04,2023-07-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2023-07-04
2023-06-03,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,SALE,PENDING,,IN,
2023-05-30,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-05-07,2023-05-04,2023-06-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,CHARGE,APPROVED,RECOVERY,IN,2023-06-04
2023-05-07,,,payment_transaction,UPI,s***@icici,,,,INR,,649.0,CHARGE,DECLINED,,IN,
2023-05-07,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,CHARGE,PENDING,,IN,
2023-05-07,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,CAPTURE,APPROVED,,IN,
2023-05-07,,,payment_transaction,UPI,e***@okicici,,,,INR,,649.0,CHARGE,APPROVED,,IN,
2023-05-07,,,payment_transaction,UPI,s***@icici,,,,INR,,649.0,CHARGE,PENDING,,IN,
2023-05-07,2023-05-04,2023-06-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,CHARGE,PENDING,RECOVERY,IN,2023-06-04
2023-05-07,2023-05-04,2023-06-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,CAPTURE,APPROVED,RECOVERY,IN,2023-06-04
2023-05-05,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,SALE,PENDING,,IN,
